Location,Fish ID,mean_hard,DAI_hard,total_hard,mean_easy,total_easy,mean_sarah,DAI_sarah,depth,band_num,per_iri,Percent Iridescence By Depth
FLAB,FLABF10,0.2603529,0.034456445,4.426,1.1365,18.1836,1.762605408,0.233272288,7.556,17.00000269,0.147709124,0.019548587
FLAB,FLABF16,0.1694118,0.025042395,2.88,0.7859,11.7888,0.869780299,0.128570628,6.765,16.99999646,0.194775394,0.028791632
FLAB,FLABF18,0.1484118,0.021590311,2.523,0.6364,11.4545,0.704779754,0.102528332,6.874,16.99999596,0.210578978,0.030634125
FLAB,FLABF22,0.1968667,0.024907224,2.953,0.5753,8.6302,0.708176161,0.089597186,7.904,14.99999746,0.277991142,0.035170944
FLAB,FLABF3,0.4464,0.080432432,6.696,0.737,11.0557,0.745966769,0.134408427,5.55,15,0.598418078,0.107823077
FLAB,FLABF4,0.5636842,0.074888295,10.71,0.9977,17.9584,1.109900231,0.147455856,7.527,19.00000035,0.507869252,0.067472997
FLAB,FLABF5,0.7652632,0.075447422,14.54,1.4676,27.884,1.35961,0.134044168,10.143,18.99999895,0.562854936,0.055491959
FLAB,FLABF9,0.2255556,0.028747846,4.06,1.1923,20.2692,1.38811,0.176919449,7.846,17.99999645,0.162491157,0.020710063
FLAB,FLABF6,0.357071429,0.053930136,4.999,0.6493,9.0908,0.70785,0.106909832,6.621,13.99999998,0.504445051,0.07618865
FLAB,FLABF8,0.364214286,0.051377386,5.099,1.3635,19.0894,1.7301,0.244054168,7.089,13.99999999,0.21051632,0.029696194
FLAB,FLABF11,0.158933333,0.025267621,2.384,0.8869,13.303,0.96285,0.153076312,6.29,15.00000003,0.165065517,0.026242531
FLAB,FLABF13,0.1365,0.018488419,1.911,0.7338,10.2727,1.44528,0.195757822,7.383,14,0.094445367,0.012792275
FLAB,FLABF14,0.2095,0.027271544,3.771,0.6416,11.5495,0.710411,0.09247735,7.682,18,0.294899713,0.038388403
FLAB,FLABF15,0.126357143,0.020704103,1.769,0.3874,5.4242,1.39803,0.229072587,6.103,13.99999998,0.090382283,0.014809484
FLAB,FLABF19,0.087666667,0.013518376,1.315,0.2311,3.4672,0.78613,0.121222822,6.485,14.99999994,0.111516755,0.017196107
FLAB,FLABF20,0.172785714,0.023948124,2.419,0.6074,8.5033,0.35646,0.049405405,7.215,14.00000002,0.484726797,0.067183201
FLAB,FLABF21,0.137214286,0.020340096,1.921,0.6425,8.9945,0.8723,0.129306256,6.746,13.99999997,0.157301715,0.023317776
FLAB,FLABF24,0.176333333,0.026908795,2.645,0.6127,9.1902,0.893984,0.136423623,6.553,15.00000003,0.197244395,0.030099862
FLFD,FLFDF1,0.1782857,0.0295959,2.496,0.379,5.3066,0.92661,0.153819721,6.024,14.00000112,0.192406406,0.031939974
FLFD,FLFDF11,0.3835294,0.053858924,6.52,0.5037,8.0594,0.681261377,0.095669341,7.121,17.00000052,0.562969534,0.079057651
FLFD,FLFDF13,0.1141176,0.017163122,1.94,0.245,4.1654,0.27970734,0.04206758,6.649,17,0.407989293,0.061361001
FLFD,FLFDF16,0.2833529,0.038301284,4.817,0.3059,4.5885,0.418186053,0.056526906,7.398,17.00000247,0.67757616,0.0915891
FLFD,FLFDF17,0.09676923,0.016152434,1.258,0.1438,2.1575,0.346724816,0.057874281,5.991,13.0000001,0.279095195,0.046585744
FLFD,FLFDF18,0.1667333,0.024613714,2.501,0.4276,6.4146,0.726411455,0.107235231,6.774,15.000003,0.229530108,0.033883984
FLFD,FLFDF19,0.18,0.024875622,2.48,0.4541,6.3579,0.627869,0.086770177,7.236,14,0.286684006,0.039619127
FLFD,FLFDF2,0.4902667,0.059182364,7.354,0.7839,11.7583,1.201581823,0.145048506,8.284,14.99999898,0.40801774,0.049253711
FLFD,FLFDF20,0.2374375,0.026768602,3.799,0.5223,8.3575,0.735908058,0.082965959,8.87,16,0.322645604,0.036374927
FLFD,FLFDF21,0.14,0.017618928,2.09,0.427,6.405,0.579858,0.07297483,7.946,15,0.241438421,0.030384901
FLFD,FLFDF23,0.2055,0.027517408,2.877,1.0218,15.3277,1.014456471,0.135840449,7.468,14,0.202571531,0.027125272
FLFD,FLFDF24,0.2250667,0.038717822,3.376,0.286,4.0038,0.484580019,0.083361435,5.813,14.99999778,0.464457244,0.079899749
FLFD,FLFDF25,0.073,0.0146,1.095,0.1991,2.9869,0.283365582,0.056673116,5,15,0.257617737,0.051523547
FLFD,FLFDF27,0.1914375,0.026677467,3.063,0.5504,8.8068,0.676937,0.094333473,7.176,16,0.282799581,0.039409083
FLFD,FLFDF4,0.4301333,0.048934391,6.452,0.9959,14.9383,0.522199159,0.059408323,8.79,15.00000116,0.823695888,0.093708292
FLFD,FLFDF6,0.4778235,0.062362764,8.123,0.5283,8.9807,0.713268929,0.093091742,7.662,17.00000105,0.669906512,0.08743233
FLFD,FLFDF8,0.1507333,0.01749458,2.261,0.4079,6.1185,0.861401716,0.099976987,8.616,15.00000332,0.174986069,0.020309432
FLFD,FLFDF9,0.3073571,0.05082803,4.303,0.2621,3.4079,0.493436841,0.081600271,6.047,14.00000195,0.622890458,0.103008179
TXSP,TXSPF1,0.2111053,0.05494672,4.011,0.3517,6.6824,0.747141319,0.194466767,3.842,18.99999668,0.282550696,0.073542607
TXSP,TXSPF10,0.185619,0.055096171,3.898,0.2442,4.883,0.48185485,0.143026076,3.369,21,0.385217665,0.114341842
TXSP,TXSPF12,0.2764211,0.05657411,5.252,0.6071,11.5351,0.734620727,0.150352175,4.886,18.99999674,0.376277295,0.077011317
TXSP,TXSPF13,0.1991579,0.040769273,3.784,0.3964,7.9278,0.426533573,0.087314959,4.885,18.9999995,0.466921979,0.0955828
TXSP,TXSPF15,0.1637368,0.044361095,3.111,0.287,5.4536,0.414776044,0.112374978,3.691,19.00000489,0.394759539,0.106951921
TXSP,TXSPF16,0.1867826,0.036538067,4.296,0.4012,8.0237,0.529113452,0.103504196,5.112,23.00000107,0.353010492,0.069055261
TXSP,TXSPF17,0.27015,0.065427464,5.403,0.4114,8.2277,0.526944685,0.127620413,4.129,20,0.512672407,0.124163819
TXSP,TXSPF18,0.16425,0.037219579,3.285,0.3319,6.3066,0.397443501,0.090061976,4.413,20,0.413266287,0.09364747
TXSP,TXSPF19,0.1691333,0.043190322,2.537,0.2512,3.7683,0.333646532,0.085200851,3.916,15.00000296,0.506923597,0.129449335
TXSP,TXSPF2,0.0854,0.021582007,1.281,0.347,5.2053,0.749851264,0.18949994,3.957,15,0.113889253,0.028781717
TXSP,TXSPF3,0.143421053,0.038368393,2.725,0.4004,7.6068,0.524296132,0.140261138,3.738,18.99999995,0.273549706,0.073180767
TXSP,TXSPF4,0.22565,0.053636796,4.513,0.4271,8.9692,0.648202746,0.154077192,4.207,20,0.34811639,0.082746943
TXSP,TXSPF5,0.1266875,0.035838048,2.027,0.2474,4.205,0.422974441,0.119653307,3.535,16,0.299515734,0.084728638
TXSP,TXSPF6,0.1656316,0.044923135,3.147,0.3165,6.33,0.422116484,0.114487791,3.687,18.99999759,0.392383634,0.106423551
TXSP,TXSPF7,0.1358947,0.03797002,2.582,0.2818,5.0723,0.323427748,0.090368189,3.579,19,0.420170195,0.117398769
TXSP,TXSPF8,0.084125,0.035213478,1.346,0.1938,3.1,0.320694012,0.134237761,2.389,16,0.262321705,0.109803979
TXSP,TXSPF9,0.2226522,0.048859381,5.121,0.506,11.6371,0.596466147,0.130890092,4.557,22.99999731,0.37328556,0.08191476
