fish,measurement,lighting,meaniri,totaliri,depth
F2,easy,9 Lumens,0.251466667,3.6033,5.31175
F2,easy,13 Lumens,0.248966667,3.734533333,5.31175
F2,easy,21 Lumens,0.296166667,4.442633333,5.31175
F2,hard,9 Lumens,0.093607937,1.341,5.31175
F2,hard,13 Lumens,0.090711111,1.360666667,5.31175
F2,hard,21 Lumens,0.093774603,1.374666667,5.31175
F4,easy,9 Lumens,0.3539,5.899266667,6.210666667
F4,easy,13 Lumens,0.374866667,6.373,6.210666667
F4,easy,21 Lumens,0.396966667,6.748266667,6.210666667
F4,hard,9 Lumens,0.133573529,2.226,6.210666667
F4,hard,13 Lumens,0.127803922,2.172666667,6.210666667
F4,hard,21 Lumens,0.116960784,1.988333333,6.210666667
F5,easy,9 Lumens,0.180166667,3.303966667,6.010923077
F5,easy,13 Lumens,0.160533333,2.9507,6.010923077
F5,easy,21 Lumens,0.2879,5.3742,6.010923077
F5,hard,9 Lumens,0.103601365,1.899666667,6.010923077
F5,hard,13 Lumens,0.10079922,1.850666667,6.010923077
F5,hard,21 Lumens,0.118817739,2.219,6.010923077
F6,easy,9 Lumens,0.17555,2.54195,6.414615385
F6,easy,13 Lumens,0.200933333,3.013933333,6.414615385
F6,easy,21 Lumens,0.249333333,3.7399,6.414615385
F6,hard,9 Lumens,0.09537381,1.384,6.414615385
F6,hard,13 Lumens,0.098111111,1.471666667,6.414615385
F6,hard,21 Lumens,0.111955556,1.679333333,6.414615385
F7,easy,9 Lumens,0.194466667,2.916833333,6.306416667
F7,easy,13 Lumens,0.187566667,2.812866667,6.306416667
F7,easy,21 Lumens,0.294466667,4.416566667,6.306416667
F7,hard,9 Lumens,0.078966667,1.1845,6.306416667
F7,hard,13 Lumens,0.082288889,1.234333333,6.306416667
F7,hard,21 Lumens,0.0994,1.491,6.306416667
F8,easy,9 Lumens,0.250133333,4.591466667,5.619923077
F8,easy,13 Lumens,0.2381,4.286033333,5.619923077
F8,easy,21 Lumens,0.288833333,5.198666667,5.619923077
F8,hard,9 Lumens,0.101388889,1.858,5.619923077
F8,hard,13 Lumens,0.101796296,1.832333333,5.619923077
F8,hard,21 Lumens,0.09687037,1.743666667,5.619923077
F9,easy,9 Lumens,0.127666667,1.865266667,5.71025
F9,easy,13 Lumens,0.135633333,2.034633333,5.71025
F9,easy,21 Lumens,0.1452,2.129533333,5.71025
F9,hard,9 Lumens,0.08815873,1.291,5.71025
F9,hard,13 Lumens,0.090933333,1.364,5.71025
F9,hard,21 Lumens,0.09021746,1.322666667,5.71025
F10,easy,9 Lumens,0.2352,3.996133333,6.550083333
F10,easy,13 Lumens,0.153166667,2.6038,6.550083333
F10,easy,21 Lumens,0.2895,4.9216,6.550083333
F10,hard,9 Lumens,0.101176471,1.72,6.550083333
F10,hard,13 Lumens,0.076705882,1.304,6.550083333
F10,hard,21 Lumens,0.107019608,1.819333333,6.550083333
F11,easy,9 Lumens,0.329966667,5.2797,5.667923077
F11,easy,13 Lumens,0.288566667,4.616933333,5.667923077
F11,easy,21 Lumens,0.300033333,4.6995,5.667923077
F11,hard,9 Lumens,0.122416667,1.958666667,5.667923077
F11,hard,13 Lumens,0.1168125,1.869,5.667923077
F11,hard,21 Lumens,0.117634722,1.842666667,5.667923077
F12,easy,9 Lumens,0.351433333,5.161433333,5.492
F12,easy,13 Lumens,0.378433333,5.5428,5.492
F12,easy,21 Lumens,0.337466667,4.947066667,5.492
F12,hard,9 Lumens,0.099107692,1.422666667,5.492
F12,hard,13 Lumens,0.106796825,1.567666667,5.492
F12,hard,21 Lumens,0.104350794,1.529,5.492
F13,easy,9 Lumens,0.239733333,4.0753,5.946153846
F13,easy,13 Lumens,0.236666667,4.023133333,5.946153846
F13,easy,21 Lumens,0.245733333,4.177633333,5.946153846
F13,hard,9 Lumens,0.112078431,1.905333333,5.946153846
F13,hard,13 Lumens,0.112372549,1.910333333,5.946153846
F13,hard,21 Lumens,0.107019608,1.819333333,5.946153846
F14,easy,9 Lumens,0.1011,1.516366667,5.594
