fish,measurement,lighting,meaniri,totaliri
F2,Easy,13 Lumens,0.2544,3.8155
F2,Hard,13 Lumens,0.0916,1.374
F2,Easy,13 Lumens,0.2423,3.6352
F2,Hard,13 Lumens,0.094133333,1.412
F2,Easy,13 Lumens,0.2502,3.7529
F2,Hard,13 Lumens,0.0864,1.296
F4,Easy,13 Lumens,0.3663,6.2278
F4,Hard,13 Lumens,0.126588235,2.152
F4,Easy,13 Lumens,0.3789,6.4412
F4,Hard,13 Lumens,0.122176471,2.077
F4,Easy,13 Lumens,0.3794,6.45
F4,Hard,13 Lumens,0.134647059,2.289
F5,Easy,13 Lumens,0.1502,2.7044
F5,Hard,13 Lumens,0.100722222,1.813
F5,Easy,13 Lumens,0.1478,2.6595
F5,Hard,13 Lumens,0.092833333,1.671
F5,Easy,13 Lumens,0.1836,3.4882
F5,Hard,13 Lumens,0.108842105,2.068
F6,Easy,13 Lumens,0.1733,2.5995
F6,Hard,13 Lumens,0.0902,1.353
F6,Easy,13 Lumens,0.2126,3.189
F6,Hard,13 Lumens,0.098866667,1.483
F6,Easy,13 Lumens,0.2169,3.2533
F6,Hard,13 Lumens,0.105266667,1.579
F7,Easy,13 Lumens,0.1855,2.7818
F7,Hard,13 Lumens,0.080933333,1.214
F7,Easy,13 Lumens,0.1926,2.8883
F7,Hard,13 Lumens,0.085066667,1.276
F7,Easy,13 Lumens,0.1846,2.7685
F7,Hard,13 Lumens,0.080866667,1.213
F8,Easy,13 Lumens,0.2409,4.3367
F8,Hard,13 Lumens,0.099222222,1.786
F8,Easy,13 Lumens,0.2371,4.2681
F8,Hard,13 Lumens,0.104388889,1.879
F8,Easy,13 Lumens,0.2363,4.2533
F8,Hard,13 Lumens,0.101777778,1.832
F9,Easy,13 Lumens,0.1523,2.2842
F9,Hard,13 Lumens,0.087,1.305
F9,Easy,13 Lumens,0.1053,1.5798
F9,Hard,13 Lumens,0.090466667,1.357
F9,Easy,13 Lumens,0.1493,2.2399
F9,Hard,13 Lumens,0.095333333,1.43
F10,Easy,13 Lumens,0.1525,2.5927
F10,Hard,13 Lumens,0.073823529,1.255
F10,Easy,13 Lumens,0.1748,2.9712
F10,Hard,13 Lumens,0.081352941,1.383
F10,Easy,13 Lumens,0.1322,2.2475
F10,Hard,13 Lumens,0.074941176,1.274
F11,Easy,13 Lumens,0.2848,4.556
F11,Hard,13 Lumens,0.1116875,1.787
F11,Easy,13 Lumens,0.2606,4.1702
F11,Hard,13 Lumens,0.11675,1.868
F11,Easy,13 Lumens,0.3203,5.1246
F11,Hard,13 Lumens,0.122,1.952
F12,Easy,13 Lumens,0.3671,5.5069
F12,Hard,13 Lumens,0.1102,1.653
F12,Easy,13 Lumens,0.4023,5.6323
F12,Hard,13 Lumens,0.102857143,1.44
